;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Tính năng;DE - Dữ liệu giao dịch - Ngành & Chỉ số;;;;;;;;;;
Ngày trích xuất;17/11/25;;;;;;;;;;
;;;;;;;;;;;
;;VNINDEX;;;;;;;;;
STT;Ngày;"Index đóng cửa (D)
Đơn vị: Điểm";;;;;;;;;
1;11/14/2025;1.635,46;;;;;;;;;
2;11/13/2025;1.631,44;;;;;;;;;
3;11/12/2025;1.631,86;;;;;;;;;
4;11/11/2025;1.593,61;;;;;;;;;
5;11/10/2025;1.580,54;;;;;;;;;
6;11/07/2025;1.599,10;;;;;;;;;
7;11/06/2025;1.642,64;;;;;;;;;
8;11/05/2025;1.654,89;;;;;;;;;
9;11/04/2025;1.651,98;;;;;;;;;
10;11/03/2025;1.617,00;;;;;;;;;
11;10/31/2025;1.639,65;;;;;;;;;
12;10/30/2025;1.669,57;;;;;;;;;
13;10/29/2025;1.685,83;;;;;;;;;
14;10/28/2025;1.680,50;;;;;;;;;
15;10/27/2025;1.652,54;;;;;;;;;
16;10/24/2025;1.683,18;;;;;;;;;
17;10/23/2025;1.687,06;;;;;;;;;
18;10/22/2025;1.678,50;;;;;;;;;
19;10/21/2025;1.663,43;;;;;;;;;
20;10/20/2025;1.636,43;;;;;;;;;
21;10/17/2025;1.731,19;;;;;;;;;
22;10/16/2025;1.766,85;;;;;;;;;
23;10/15/2025;1.757,95;;;;;;;;;
24;10/14/2025;1.761,06;;;;;;;;;
25;10/13/2025;1.765,12;;;;;;;;;
26;10/10/2025;1.747,55;;;;;;;;;
27;10/09/2025;1.716,47;;;;;;;;;
28;10/08/2025;1.697,83;;;;;;;;;
29;10/07/2025;1.685,30;;;;;;;;;
30;10/06/2025;1.695,50;;;;;;;;;
31;10/03/2025;1.645,82;;;;;;;;;
32;10/02/2025;1.652,71;;;;;;;;;
33;10/01/2025;1.665,05;;;;;;;;;
34;09/30/2025;1.661,70;;;;;;;;;
35;09/29/2025;1.666,48;;;;;;;;;
36;09/26/2025;1.660,70;;;;;;;;;
37;09/25/2025;1.666,09;;;;;;;;;
38;09/24/2025;1.657,46;;;;;;;;;
39;09/23/2025;1.635,26;;;;;;;;;
40;09/22/2025;1.634,45;;;;;;;;;
41;09/19/2025;1.658,62;;;;;;;;;
42;09/18/2025;1.665,18;;;;;;;;;
43;09/17/2025;1.670,97;;;;;;;;;
44;09/16/2025;1.680,90;;;;;;;;;
45;09/15/2025;1.684,90;;;;;;;;;
46;09/12/2025;1.667,26;;;;;;;;;
47;09/11/2025;1.657,75;;;;;;;;;
48;09/10/2025;1.643,26;;;;;;;;;
49;09/09/2025;1.637,32;;;;;;;;;
50;09/08/2025;1.624,53;;;;;;;;;
51;09/05/2025;1.666,97;;;;;;;;;
52;09/04/2025;1.696,29;;;;;;;;;
53;09/03/2025;1.681,30;;;;;;;;;
54;08/29/2025;1.682,21;;;;;;;;;
55;08/28/2025;1.680,86;;;;;;;;;
56;08/27/2025;1.672,78;;;;;;;;;
57;08/26/2025;1.667,63;;;;;;;;;
58;08/25/2025;1.614,03;;;;;;;;;
59;08/22/2025;1.645,47;;;;;;;;;
60;08/21/2025;1.688,00;;;;;;;;;
61;08/20/2025;1.664,36;;;;;;;;;
62;08/19/2025;1.654,20;;;;;;;;;
63;08/18/2025;1.636,37;;;;;;;;;
64;08/15/2025;1.630,00;;;;;;;;;
65;08/14/2025;1.640,69;;;;;;;;;
66;08/13/2025;1.611,60;;;;;;;;;
67;08/12/2025;1.608,22;;;;;;;;;
68;08/11/2025;1.596,86;;;;;;;;;
69;08/08/2025;1.584,95;;;;;;;;;
70;08/07/2025;1.581,81;;;;;;;;;
71;08/06/2025;1.573,71;;;;;;;;;
72;08/05/2025;1.547,15;;;;;;;;;
